Type;Date;Price;
1;19.01.2009 16:01:17;105.7;
0;19.01.2009 16:01:48;105.8;
0;19.01.2009 16:01:51;105.84;
0;19.01.2009 16:02:48;105.82;
1;19.01.2009 16:04:10;106.04;
0;19.01.2009 16:08:32;105.77;
0;19.01.2009 16:08:37;105.77;
0;19.01.2009 16:09:30;105.44;
0;19.01.2009 16:09:42;105.33;
1;19.01.2009 16:09:54;105.29;
1;19.01.2009 16:10:33;105.52;
0;19.01.2009 16:14:12;105.2;
1;19.01.2009 16:17:02;105.18;
0;19.01.2009 16:19:52;105.32;
1;19.01.2009 16:22:33;105.45;
0;19.01.2009 16:23:33;105.25;
0;19.01.2009 16:26:18;105.25;
0;19.01.2009 16:29:21;105.08;
0;19.01.2009 16:32:24;104.99;
0;19.01.2009 16:33:53;104.8;
0;19.01.2009 16:34:23;104.68;
1;19.01.2009 16:35:17;104.4;
1;19.01.2009 16:36:59;104.53;
0;19.01.2009 16:37:27;104.4;
0;19.01.2009 16:37:32;104.39;
0;19.01.2009 16:39:17;104.03;
0;19.01.2009 16:39:21;104;
1;19.01.2009 16:42:08;103.78;
0;19.01.2009 16:42:30;103.84;
0;19.01.2009 16:43:47;103.97;
0;19.01.2009 16:45:13;104.01;
0;19.01.2009 16:46:40;104.33;
0;19.01.2009 16:55:33;104.49;
0;19.01.2009 16:56:09;104.51;
0;19.01.2009 16:56:26;104.56;
0;19.01.2009 16:58:19;105.06;
0;19.01.2009 16:58:38;105.17;
1;19.01.2009 16:58:48;105.16;
0;19.01.2009 17:00:00;104.99;
0;19.01.2009 17:00:22;104.96;
0;19.01.2009 17:00:29;104.95;
1;19.01.2009 17:00:45;104.95;
0;19.01.2009 17:02:00;105.04;
1;19.01.2009 17:02:05;105.2;
1;19.01.2009 17:13:07;104.89;
0;19.01.2009 17:14:03;105;
0;19.01.2009 17:15:46;105.44;
1;19.01.2009 17:16:16;105.63;
0;19.01.2009 17:18:14;105.57;
1;19.01.2009 17:19:01;105.72;
0;19.01.2009 17:21:04;105.85;
0;19.01.2009 17:21:11;105.87;
1;19.01.2009 17:21:22;105.87;
0;19.01.2009 17:23:23;105.68;
0;19.01.2009 17:27:06;105.67;
0;19.01.2009 17:27:45;105.44;
0;19.01.2009 17:27:53;105.42;
0;19.01.2009 17:28:24;105.61;
0;19.01.2009 17:28:26;105.43;
1;19.01.2009 17:28:28;105.29;
0;19.01.2009 17:29:25;105.43;
0;19.01.2009 17:29:37;105.51;
0;19.01.2009 17:30:35;105.51;
1;19.01.2009 17:30:41;105.51;
0;19.01.2009 17:31:58;105.43;
1;19.01.2009 17:32:04;105.36;
0;19.01.2009 17:32:53;105.39;
1;19.01.2009 17:36:17;105.4;
1;19.01.2009 17:39:33;105.24;
1;19.01.2009 17:44:28;105.31;
0;19.01.2009 17:44:35;105.19;
0;19.01.2009 17:45:25;105.15;
0;19.01.2009 17:45:32;105.15;
0;19.01.2009 17:45:52;104.9;
0;19.01.2009 17:46:14;104.87;
0;19.01.2009 17:46:57;104.81;
0;19.01.2009 17:47:17;104.82;
0;19.01.2009 17:47:27;104.8;
1;19.01.2009 17:48:46;104.72;
0;19.01.2009 17:50:44;104.84;
0;19.01.2009 17:52:15;105.06;
1;19.01.2009 17:55:43;105.26;
0;19.01.2009 17:59:11;105.04;
0;19.01.2009 18:00:32;104.97;
0;19.01.2009 18:00:45;104.89;
0;19.01.2009 18:01:55;104.44;
0;19.01.2009 18:02:12;104.42;
1;19.01.2009 18:02:25;104.4;
0;19.01.2009 18:04:51;104.63;
1;19.01.2009 18:04:56;104.71;
1;19.01.2009 18:09:48;104.43;
1;19.01.2009 18:11:27;104.64;
0;19.01.2009 18:11:58;104.46;
0;19.01.2009 18:12:09;104.37;
1;19.01.2009 18:12:37;104.12;
0;19.01.2009 18:14:49;104.51;
0;19.01.2009 18:16:17;104.62;
0;19.01.2009 18:16:32;104.77;
1;19.01.2009 18:17:44;104.82;
1;19.01.2009 18:19:38;104.77;
1;19.01.2009 18:22:11;105;
0;19.01.2009 18:26:12;104.78;
0;19.01.2009 18:27:15;104.69;
0;19.01.2009 18:27:32;104.65;
0;19.01.2009 18:27:50;104.72;
1;19.01.2009 18:29:14;104.44;
1;19.01.2009 18:31:07;105.13;
1;19.01.2009 18:32:23;105.13;
0;19.01.2009 18:33:05;105.43;
1;19.01.2009 18:34:18;106.07;
0;19.01.2009 18:34:40;105.96;
